code_insee,nom_commune,code_departement,nom_departement,region,population,latitude,longitude,prix_m2_median,prix_m2_median_maison,prix_m2_median_appartement,prix_m2_q1,prix_m2_q3,prix_median_maison,prix_median_appartement,surface_mediane_m2,nb_ventes,nb_maisons,nb_appartements,periode_debut,periode_fin,evolution_prix_pct,part_passoires_dpe_pct,prix_m2_median_departement,fiabilite,url
33138,Coutras,33,Gironde,Nouvelle-Aquitaine,8678,45.0408,-0.1003,1820,1810,1840,1520,2160,162000,80000,84,250,195,55,2023-01-19,2025-12-29,-3.2,7.4,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/coutras/
33140,Créon,33,Gironde,Nouvelle-Aquitaine,4950,44.7688,-0.3444,2740,2770,2580,2310,3090,226500,118500,80,178,145,33,2023-01-05,2025-12-29,-9.5,2.7,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/creon/
33142,Cubnezais,33,Gironde,Nouvelle-Aquitaine,1915,45.0744,-0.4202,2420,2420,,1800,2700,240000,,94,42,42,0,2023-02-23,2025-11-27,-4.6,4.4,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/cubnezais/
33143,Cubzac-les-Ponts,33,Gironde,Nouvelle-Aquitaine,2693,44.9674,-0.4426,2340,2360,2160,1810,2670,225000,131000,100,70,65,5,2023-02-22,2025-12-18,-18.9,5.2,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/cubzac-les-ponts/
33146,Cussac-Fort-Médoc,33,Gironde,Nouvelle-Aquitaine,2279,45.1207,-0.726,2390,2360,,1870,2670,225500,,97,47,46,1,2023-02-07,2025-12-22,1.2,5.9,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/cussac-fort-medoc/
33151,Donnezac,33,Gironde,Nouvelle-Aquitaine,926,45.2397,-0.4468,1350,1350,,1160,1740,133000,,93,24,24,0,2023-02-21,2025-11-19,,,3570,indicative,
33159,Étauliers,33,Gironde,Nouvelle-Aquitaine,1662,45.2221,-0.5851,1390,1350,1540,1160,1640,99500,65000,73,69,60,9,2023-01-05,2025-12-30,-4.3,6.1,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/etauliers/
33161,Eyrans,33,Gironde,Nouvelle-Aquitaine,756,45.1967,-0.6116,1620,1620,,1140,2020,163000,,112,22,22,0,2023-02-13,2025-11-19,,,3570,indicative,
33162,Eysines,33,Gironde,Nouvelle-Aquitaine,24825,44.8779,-0.646,3570,3750,3510,3200,4000,341500,167000,65,945,429,516,2023-01-06,2025-12-31,-9.7,2.1,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/eysines/
33164,Fargues,33,Gironde,Nouvelle-Aquitaine,1655,44.5362,-0.2926,2170,2170,,1740,2630,220000,,94,35,35,0,2023-01-03,2025-08-01,,2.7,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/fargues/
